Department=[Amazon.com],Search Term=[],Enter ASINs or Products=[],Reporting Range=[Weekly],Viewing=[11/8/20 - 11/14/20],,,,,,,,,,
Amazon.com,iphone charger,58,B08JCZFWQJ,UNEN MFi Certified 5Pack[3/3/6/6/10ft] Nylon Braided iPhone Charger Lightning Cable Fast Charging&Syncing Long Cord Compatible iPhone 11Pro Max/11Pro/11/XS/Max/XR/X/8/8P/7 and More-Black&Blue,13.44%,16.63%,B08L7BS9LW,"iPhone Charger,5 Pack (6 FT) MBYY [Apple MFi Certified] Charger Lightning to USB Cable Compatible iPhone 11 Pro/11/XS MAX/XR/8/7/6s/6/plus,iPad Pro/Air/Mini,iPod Touch Original Certified-White",10.14%,11.19%,B087G8L9TN,"MFi Certified iPhone Charger MBYY, 5pack [6/6/6/10/10FT] Lightning Cable iPhone Cable USB Sync Cord Fast iPhone Charger Cable Compatible iPhone 11 Pro Max Xs X XR 8 7 6s 6 SE iPad iPod More",6.54%,8.99%
Amazon.com,gifts for men,59,B08K2MV4RK,"Gifts for Women Men ,Massage Gun,Upgated Durable Quiet Mini Massage Gun,Handheld Electric Deep Muscle Percussion Massage Gun,Best Massage Gun,Lightweight Massage Gun, Gifts for Men Him Dad Women,Black",30.45%,0.00%,B07V6X6MG6,"Gifts for Men Dad Husband, Survival Gear and Equipment 12 in 1, Christmas Stocking Stuffers, Fishing Hunting Birthday Gifts Ideas for Him Boyfriend Teen Boy, Cool Gadget, Camping Survival Kit",4.38%,5.84%,B083C4TBT5,"Thoughtfully Gifts, Smokehouse Ultimate Grilling Spice Set, Grill Seasoning Gift Set Flavors Include Chili Garlic, Rosemary and Herb, Lime Chipotle, Cajun Seasoning and More, Pack of 20",3.30%,3.31%
Amazon.com,ring light,60,B08B3X7NXC,"10'' Ring Light with 50'' Extendable Tripod Stand, Sensyne LED Circle Lights with Phone Holder for Live Stream/Makeup/YouTube Video/TikTok, Compatible with iPhone/Android",14.05%,14.09%,B08HVH8FPF,"UBeesize 10 Selfie Ring Light with Tripod Stand & Cell Phone Holder, Dimmable Desktop LED Circle Light for Live Streaming/Makeup/YouTube, Compatible with iOS and Android Phones",13.14%,15.49%,B07GDC39Y2,"Selfie Ring Light with Tripod Stand & Cell Phone Holder for Live Stream/Makeup, UBeesize Mini Led Camera Ringlight for YouTube Video/Photography Compatible with iPhone Xs Max XR Android (Upgraded)",7.88%,8.26%
Amazon.com,apple,61,B07ZPC9QD4,Apple AirPods Pro,13.36%,1.25%,B08L5NP6NG,Apple MagSafe Charger,7.75%,0.70%,B08L5M9BTJ,Apple 20W USB-C Power Adapter,5.14%,1.66%
Amazon.com,weighted blanket,62,B073429DV2,"YnM Weighted Blanket — Heavy 100% Oeko-Tex Certified Cotton Material with Premium Glass Beads (Dark Grey, 48''x72'' 15lbs), Suit for One Person(~140lb) Use on Twin/Full Bed",13.43%,13.59%,B07PVLZRHN,"Waowoo Adult Weighted Blanket Queen Size?15lbs 60x80? Heavy Blanket with Premium Glass Beads, (Dark Grey)",12.30%,11.44%,B07DY8WHVD,"ZZZhen Weighted Blanket - High Breathability - 48''72'' 15LBs - Premium Heavy Blankets - Calm Sleeping for Adult and Kids, Durable Quilts and Quality Construction",9.44%,10.42%
Amazon.com,harry potter,63,B0011AQLZQ,Harry Potter and the Sorcerer's Stone,24.80%,18.13%,B00AP06III,Harry Potter and the Sorcerer's Stone,6.68%,6.46%,B0094K38KQ,Harry Potter and the Chamber of Secrets,5.51%,9.13%
Amazon.com,portable charger,64,B0194WDVHI,"Anker PowerCore 10000 Portable Charger, One of The Smallest and Lightest 10000mAh Power Bank, Ultra-Compact Battery Pack, High-Speed Charging Technology Phone Charger for iPhone, Samsung and More.",26.61%,27.35%,B07XFBN7HX,"2-Pack Miady 10000mAh Dual USB Portable Charger, Fast Charging Power Bank with USB C Input, Backup Charger for iPhone X, Galaxy S9, Pixel 3 and etc …",10.32%,13.31%,B07YPY31FL,"INIU Portable Charger, 18W PD3.0 QC4.0 Fast Charging LED Display 20000mAh Power Bank, Tri-Outputs Battery Pack Compatible with iPhone 12 11 XS X 8 Samsung S20 Google LG iPad Tablet etc. [2021 Version]",6.30%,6.36%
Amazon.com,barbie,65,B084L1QLVM,"Barbie Color Reveal Set with 50+ Surprises Including 2 Dolls, 3 Pets & 36 Slumber Party-Themed Accessories; Water Reveals Dolls’ & Pets’ Looks & Creates Color Change on Certain Pieces; 28 Mystery Bags",4.99%,3.23%,B07GLMHSS8,"?Barbie Travel Doll, Blonde, with Puppy, Opening Suitcase, Stickers and 10+ Accessories, for 3 to 7 Year Olds???, Multicolor",4.87%,4.65%,B07WVP9JS2,"ZITA ELEMENT Doll Closet Wardrobe for 11.5 Inch Girl Doll Clothes and Accessories Storage - Lot 101 Items Including Wardrobe, Trunk, Casual Wear, Dress, Swimsuits, Hangers, Shoes, Bags and Necklaces",4.04%,2.49%
Amazon.com,alexa,66,B07PGL2N7J,Echo Dot (3rd Gen) - Smart speaker with Alexa - Sandstone,16.54%,19.16%,B07PDHSLM6,Echo Dot (3rd Gen) - Smart speaker with Alexa - Heather Gray,15.60%,16.59%,B07XJ8C8F5,All-new Echo Dot (4th Gen) | Smart speaker with Alexa | Charcoal,12.33%,16.05%
Amazon.com,tapestry,67,B08B5VB3PF,"HOTMIR Wall Tapestry - Black Tapestry Wall Hanging as Wall Art and Home Decor for Bedroom, Living Room, Dorm Decor (51.2x59.1 Inches, 130x150 cm)",6.59%,5.68%,B0836R86WL,"Musesh Decorative Wall Tapestry, Good Vibes Only Words in Neon Light for Bedroom Living Room Outdoor 80X60 Inch",5.42%,4.37%,B07S2XDX4Y,Sevenstars Moon and Star Tapestry Clouds Tapestries Black Tapestry Psychedelic Mountain Tapestry for Room,4.95%,6.68%
Amazon.com,blue light glasses,68,B085VSWBHF,"Blue Light Blocking Glasses - 3Pack Computer Game Glasses Square Eyeglasses Frame, Blue Light Blocker Glasses for Women Men, Anti Eye Eyestrain Reading Gaming Glasses Non Prescription",19.14%,23.90%,B07Z8P8Q5W,AOMASTE Blue Light Blocking Glasses Retro Semi Rimless UV400 Clear Lens Computer Eyewear for Men Women,8.98%,2.62%,B088F5L2SR,"FEIYOLD Blue Light Blocking Glasses Women/Men,Retro Round Anti Eyestrain Computer Gaming Glasses(Leopard+Crystal)",6.93%,8.13%
Amazon.com,stocking stuffers,69,B08C2KKXNP,"GoldWorld Bluetooth Beanie,Bluetooth Hat,Bluetooth Beanie Hat w/Running Armband,Unique Gifts Stocking Stuffers for Women Mom Mother Teen Girls Her Wife Girlfriend Husband Men Dad Boy Him Friends",5.57%,0.45%,B07R3GPFH5,ChapStick S'mores Collection 3- 0.15 Oz. Sticks,4.63%,7.65%,B01ATW6NJ0,10 Piece Game Jerky Sticks Alligator-elk-buffalo-kangaroo-ostrich-pheasant-venison-wild Boar Variety Pack,4.62%,3.95%
Amazon.com,gaming pc,70,B08FPNRYXN,"iBUYPOWER Gaming PC Computer Desktop Element Mini 9300 (AMD Ryzen 3 3100 3.6GHz, AMD Radeon RX 550 2GB, 8GB DDR4 RAM, 240GB SSD, WiFi ready, Windows 10 Home)",29.07%,25.55%,B08FPXPGJW,"iBUYPOWER Gaming PC Computer Desktop Element MR 9320 (Intel i7-10700F 2.9GHz, NVIDIA GTX 1660 Ti 6GB, 16GB DDR4 RAM, 240GB SSD, 1TB HDD, WiFi ready, Windows 10 Home)",8.86%,9.05%,B07YQCQBJK,"Gaming PC Desktop Computer by Alarco Intel i5 3.10GHz,8GB Ram,1TB Hard Drive,Windows 10 pro,WiFi Ready,Video Card Nvidia GTX 650 1GB, 3 RGB Fans with Remote",6.56%,6.13%
Amazon.com,monitor,71,B08BF4CZSV,HP 24mh FHD Monitor - Computer Monitor with 23.8-inch IPS Display (1080p) - Built-in Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),11.50%,20.94%,B07743412C,"Sceptre 20 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",11.03%,11.59%,B07CVL2D2S,"Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",10.16%,11.47%
Amazon.com,slippers for women,72,B087J39S8J,Jessica Simpson Women's Comfy Faux Fur House Slipper Scuff Memory Foam Slip on Anti-skid Sole,12.21%,12.43%,B07L7BKDRT,HALLUCI Women's Cross Band Soft Plush Fleece House Indoor or Outdoor Slippers,9.78%,6.47%,B089F79DHQ,Jessica Simpson Women's Soft Cable Knit Slippers With Indoor/Outdoor Sole,4.08%,4.96%
Amazon.com,lysol wipes,73,B0002LCZ6O,"Lysol Disinfecting Wipes, Lemon & Lime Blossom, 80ct",12.44%,32.61%,B00Q70RCW6,"Lysol Disinfecting Wipes, Lemon & Lime Blossom, Packaging May Vary, 80 Count (Pack of 4)",11.08%,5.92%,B06W5QJ5J9,"Lysol Disinfecting, 480 6 Packs of 80 Wipes, (Lemon & Spring, Lemon, Spring Waterfall",9.80%,4.65%
Amazon.com,candles,74,B000C2TB6U,"Yankee Candle Large Jar Candle, Christmas Cookie",6.02%,6.60%,B01N0RSCBI,"Chesapeake Bay Candle Scented Candle, Balance + Harmony (Water Lily Pear), Medium",5.40%,7.68%,B07J5S5Z9D,"Lulu Candles | Jasmine, Oud & Sandalwood | Luxury Scented Soy Jar Candle | Hand Poured in The USA | Highly Scented & Long Lasting- 9 Oz. NO LID",5.27%,4.22%
Amazon.com,led strip lights,75,B07Y55WK7Z,"LED Strip Lights 32.8ft,Ehomful Color Changing 5050 RGB 300 LEDs 44KEY Remote Control LED Lights for Bedroom,Room,Kitchen,DIY Home &Party Christmas Decorations,L Shape and Gapless Connector Included",6.85%,6.33%,B087D55WK2,"65.6ft Led Strip Lights, Tenmiro Led Lights Strip Led Lights for Bedroom, Kitchen, Home Decoration",6.19%,6.15%,B08B8D53HS,Daybetter 5050 RGB Flexible Color Changing Remote Control Led Strip Lights - 65.6ft,4.53%,4.24%
Amazon.com,ps5 playstation 5 preorder,76,B08FC5L3RG,PlayStation 5 Console,67.45%,30.47%,B08FC6C75Y,DualSense Wireless Controller,17.42%,21.09%,B08FC6MR62,PlayStation 5 Digital Edition,7.14%,3.13%
Amazon.com,power bank,77,B07S829LBX,"Anker Portable Charger, PowerCore Essential 20000mAh Power Bank with PowerIQ Technology and USB-C (Input Only), High-Capacity External Battery Pack Compatible with iPhone, Samsung, iPad, and More.",11.98%,9.53%,B07QXV6N1B,"Anker Power Bank, PowerCore Slim 10000, Ultra Slim Portable Charger, Compact 10000mAh External Battery, High-Speed PowerIQ Charging Technology for iPhone, Samsung Galaxy and More (USB-C Input Only)",9.77%,9.31%,B08B8Z663B,"Solar Power Bank 30000 mAh, Wireless Portable Charger Solar Panel External Battery Type-C 5V Dual USB with LED Flashlight (Waterproof, Dustproof, Shockproof) Compatible with iOS & Android (Black)",8.07%,8.15%
Amazon.com,dog toys,78,B00P0YQYYW,"ZippyPaws - Skinny Peltz No Stuffing Squeaky Plush Dog Toy, Fox, Raccoon, and Squirrel - Large",9.21%,12.84%,B07Z4GBGVV,"Dog Chew Toys for Puppies Teething, 14 Pack Dog Rope Toys Tug of War Dog Toy Bundle Toothbrush iq Treat Ball Squeaky Rubber Bone Durable Dog Chew Toys for Small Dogs Pet Toys Puppy Toys",8.03%,6.18%,B07VFH1QMC,"Squeaky Plush Dog Toy Pack for Puppy, Small Stuffed Puppy Chew Toys 12 Dog Toys Bulk with Squeakers, Cute Soft Pet Toy for Small Medium Size Dogs",5.03%,4.19%
Amazon.com,airpod case,79,B07T93ZS8Z,"Hamile Compatible with AirPods Case [Front LED Visible] Soft Silicone Protective Cases Cover Skin Designed for Apple AirPod 2 & 1, Women Men, with Keychain (Lilac)",11.30%,16.34%,B08HZ6LQ4W,"Shineyii for Airpod 2/1 Case Soft Silicone Cute Cartoon Kawaii Funny Cover Fashion Food Protective Skin Accessories Keychain Girls Teens Cases for Air Pods Compatible with Airpods 2&1, Candy Kids",6.84%,2.74%,B07JHL2T8X,"Filoto Case for Airpods, Airpod Case Cover for Apple Airpods 2&1 Charging Case, Cute Air Pods Silicone Protective Accessories Cases/Keychain/Pompom/Strap, Best Gift for Girls and Women, Burgundy",6.14%,6.54%
Amazon.com,computer desk,80,B082F1J9B8,"CubiCubi Computer Desk 47 Study Writing Table for Home Office, Industrial Simple Style PC Desk, Black Metal Frame, Rustic",5.98%,8.14%,B07MH7LXM8,"Coleshome Computer Desk 47, Modern Simple Style Desk for Home Office, Sturdy Writing Desk,Teak",4.85%,7.77%,B082Y16QZ2,"Mr IRONSTONE L-Shaped Desk 50.8 Computer Corner Desk, Home Gaming Desk, Office Writing Workstation with Large Monitor Stand, Space-Saving, Easy to Assemble, Black",4.78%,4.59%
Amazon.com,womens sweaters,81,B07Y64587G,Angashion Women's Sweaters Casual Long Sleeve Crewneck Color Block Patchwork Pullover Knit Sweater Tops,9.42%,8.73%,B08L8QM2D9,Womens Stripes Color Block Knit Hoodies Sweaters Lightweight Drawstring Loose Pullover Sweatshirts,3.32%,3.46%,B07XMLR6TJ,ANRABESS Womens Turtleneck Long Batwing Sleeve Asymmetric Hem Casual Pullover Sweater Knit Tops,3.22%,3.41%
Amazon.com,desk chair,82,B00FS3VJAO,"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support Armrest Executive Rolling Swivel Adjustable Mid Back Task Chair for Women Adults, Black",6.82%,9.25%,B07W52NYGX,Yaheetech Office Chair Ergonomic Desk Chair Mid-Back Big Cheap Computer Chair Mesh Swivel Chair with Lumbar Support,4.54%,6.31%,B087THGV5S,Office Mid Back Mesh Chair Ergonomic Swivel Lumbar Support Desk Computer Chair (Black),4.19%,6.56%
Amazon.com,boots for women,83,B07RT1KDSL,GLOBALWIN Women's Fashion Boots,8.33%,11.92%,B07SNBSDPT,GLOBALWIN Women's The Strider’s Boots,2.80%,2.62%,B01GGM0U8C,Dr. Martens Leona Boot,2.47%,0.78%
Amazon.com,shower curtain,84,B014QQ4P0Y,"AmazonBasics Mold and Mildew Resistant Shower Curtain with Hooks, 72-Inch, Gray Stripe",17.05%,18.29%,B07RGQQ3LG,"AmazerBath Waffle Shower Curtain, Heavy Duty Fabric Shower Curtains with Waffle Weave Hotel Quality Bathroom Shower Curtains, 72 x 72 Inches",7.20%,10.49%,B00LS9UD2M,"LiBa PEVA 8G Bathroom Shower Curtain Liner, 72 W x 72 H, Clear 8G Heavy Duty Waterproof Shower Curtain Liner Anti-Microbial Mildew Resistant",3.70%,7.75%
Amazon.com,clorox wipes,85,B0035OQSOK,Clorox Disinfecting Wipes - Lemon Scent - Case of 6 Canisters,23.11%,15.20%,B00GISQJ4O,COX01599 - Disinfecting Wipes,16.31%,12.98%,B08BKR9YT6,"Clorox Disinfecting Bleach Free Cleaning Wipes, 75 Wipes, Pack of 3 (Packaging May Vary)",11.08%,26.93%
Amazon.com,among us,86,B08KDG7GKJ,EMILYLE Among Us 3D Print Hoodie Boys Long Sleeve With Pockets Funny Outwear Sweatshirt,6.66%,5.25%,B08KH3RXXX,Among Us Coloring Book: Great Gifts For To Relax And Relieve Stress With Many Cool Among Us Designs To Color Which Helps To Develop Creativity And Imagination,5.98%,6.87%,B08KT5GH33,Composition Notebook: Among Us Wide Ruled Composition Notebook (7.5x9.25) Colorful Characters Pack Pattern,4.05%,9.75%
Amazon.com,iphone 11,87,B07ZPKR714,"Apple iPhone 11, 128GB, Black - Fully Unlocked (Renewed)",12.14%,21.63%,B084GSMNRD,"Apple iPhone 11 [64GB, Purple] + Carrier Subscription [Cricket Wireless]",10.10%,11.56%,B07P978C2R,"Apple iPhone XR, 64GB, White - Fully Unlocked (Renewed)",7.93%,11.21%
Amazon.com,christmas tree skirt,88,B08DR9NFMC,"TOBEHIGHER Christmas Tree Skirt, 36 inches White Christmas Tree Skirt, High-End Soft Classic Fluffy Faux Fur Tree Skirt for Xmas Tree Decorations and Ornaments",7.10%,6.60%,B08DJ2RBB2,"KD KIDPAR 36” Faux Fur Christmas Tree Skirt(Snowy White) for Holiday Tree Decorations and Orname, Plush Soft Classic Fluffy Faux Fur Tree Skirt for Tree Décor",3.43%,3.99%,B074VPZ5Y5,"LimBridge Christmas Tree Skirt, 48 inches Cable Knit Knitted Thick Rustic Xmas Holiday Decoration, Burgundy",3.30%,3.18%
Amazon.com,apple watch bands,89,B08K332LVM,"RUOQINI 4 Pack Compatible with Apple Watch Band 38mm 40mm 42mm 44mm,Sport Silicone Soft Replacement Band Compatible for Apple Watch Series 6/SE/5/4/3/2/1",7.27%,8.10%,B08MVJTJRR,"jwacct Compatible for Apple Watch Band 38mm 40mm 42mm 44mm, Adjustable Stainless Steel Mesh Wristband Sport Loop for iWatch Series 6/5/4/3/2/1, SE",5.56%,6.66%,B08GZ9M8XZ,"GBPOOT Compatible for Apple Watch Band 38mm 40mm 42mm 44mm with Screen Protector Case, Sports Wristband Strap Replacement Band with Protective Case for Iwatch Series 6/SE/5/4/3/2/1,38mm,Rose Gold",3.97%,3.75%
Amazon.com,mouse pad,90,B088GYHSRX,"Mouse Pad,Upgraded Mouse Pad with Durable Stitched Edge,11.8x9.8x0.12 30% Larger Big Gaming Black Mouse pad,Non-Slip Rubber Base Waterproof Mouse Pad for Gaming,Laptop,Computer, Office,Home, Black",21.54%,0.11%,B075WW7V6W,"VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC, 10.2×8.3×0.08 inches, Black",12.66%,18.11%,B07PQDLF51,"RGB Gaming Mouse Pad, UtechSmart Large Extended Soft Led Mouse Pad with 14 Lighting Modes 2 Brightness Levels, Computer Keyboard Mousepads Mat 800 x 300mm / 31.5×11.8 inches",4.04%,1.63%
Amazon.com,xbox,91,B08GGDT47N,Xbox One S,22.93%,26.30%,B08H75RTZ8,Xbox Series X,17.81%,0.77%,B08231TPSF,"Microsoft Xbox One S 1TB HDD Bundle with Two (2X) Wireless Controllers, 1-Month Game Pass Trial, 14-Day Xbox Live Gold Trial - White (2016 Model)",6.00%,5.64%
Amazon.com,bluetooth speaker,92,B010OYASRG,"OontZ Angle 3 (3rd Gen) - Bluetooth Portable Speaker, Louder Volume, Crystal Clear Stereo Sound, Rich Bass, 100 Ft Wireless Range, Microphone, IPX5, Bluetooth Speakers by Cambridge Sound Works (Black)",16.09%,24.99%,B01HETFQKS,Bose SoundLink Color Bluetooth Speaker II - Soft Black,6.50%,4.18%,B07XVFB67J,"Bluetooth Speakers,MusiBaby Speaker,Outdoor, Portable,Waterproof,Wireless Speakers,Dual Pairing, Bluetooth 5.0,Loud Stereo,Booming Bass,1500 Mins Playtime for Home&Party Black",4.91%,7.29%
Amazon.com,tablet,93,B07TMJ1R3X,"All-new Fire HD 8 tablet, 8 HD display, 32 GB, designed for portable entertainment, Black",17.26%,20.46%,B07FKR6KXF,"Fire 7 tablet (7 display, 16 GB) - Black",11.44%,21.45%,B083BGRNMZ,"Tablet 10 Inch Android 9.0 3G Phone Tablets with 32GB Storage Dual Sim Card 5MP Camera, WiFi, Bluetooth, GPS, Quad Core, HD Touchscreen, Support 3G Phone Call (Black)",6.99%,4.91%
Amazon.com,water bottle,94,B0878XXTST,Fidus Large 1 Gallon Motivational Water Bottle with Paracord Handle & Removable Straw - BPA Free Leakproof Water Jug with Time Marker to Ensure You Drink Enough Water Throughout the Day-Green/Purple,12.85%,11.95%,B07HYFZT3J,"Simple Modern Insulated Water Bottle with Straw Lid 1 Liter Reusable Wide Mouth Stainless Steel Flask Thermos, 32oz, Midnight Black",6.80%,5.92%,B0885NLR5C,"BOTTLED JOY 32oz Water Bottle, BPA Free Water Bottle with Motivational Time Marker Reminder Leak-Proof 1L Drinking Bottle Tritan Sports Bottle for Camping Workouts Gym and Outdoor Activity",4.80%,5.24%
Amazon.com,uggs boots for women,95,B01MXYIKTF,UGG Women's Classic Short II Boot,8.58%,9.95%,B07NZPF8FN,UGG Women's Neumel Boot,6.46%,5.51%,B01LZZMKZ5,Koolaburra by UGG Women's victoria tall Fashion Boot,4.48%,4.43%
Amazon.com,dog bed,96,B003D7LCRM,Plush Pet Bed 40624-SGB| Ombre Swirl Dog Bed & Cat Bed | Gray 23L x 18W x 1.75H Inches for Small Dog Breeds,11.48%,12.27%,B07J334WTW,MIXJOY Orthopedic Dog Bed Comfortable Donut Cuddler Round Dog Bed Ultra Soft Washable Dog and Cat Cushion Bed (23''x23'') (Brown),9.11%,7.79%,B0759MNQV7,"Furhaven Pet Dog Bed - Deluxe Orthopedic Two-Tone Plush and Suede L Shaped Chaise Lounge Living Room Corner Couch Pet Bed with Removable Cover for Dogs and Cats, Stone Gray, Medium",7.38%,7.17%
Amazon.com,webcam,97,B07QP6G5JV,"HD 1080P Webcam with Microphone and Privacy Cover, Akyta USB Web Computer Camera, 110 Degree Wide Angle, Desktop PC Laptop Streaming Webcam for MAC Zoom YouTube Teams Video Conference/Call/Recording",38.54%,0.03%,B087NN41JH,"Webcam with Microphone, 1080P HD Streaming USB Computer Webcam [Plug and Play] [30fps] for PC Video Conferencing/Calling/Gaming, Laptop/Desktop Mac, Skype/YouTube/Zoom/Facetime",14.87%,25.07%,B08BHX7GYY,"1080P Business Webcam with Dual Microphone & Privacy Cover, 2020 [Upgraded] NexiGo USB FHD Web Computer Camera, Plug and Play, for Zoom/Skype/Teams Online Teaching, Laptop MAC PC Desktop",5.25%,10.11%
Amazon.com,popsocket,98,B07P4G93ZB,PopSockets: PopGrip with Swappable Top for Phones & Tablets - Opal,12.57%,14.31%,B07NVN5SK5,PopSockets PopGrip - Expanding Stand and Grip with Swappable Top - All Seeing,4.63%,4.68%,B07NZ1YQ78,PopSockets: PopGrip with Swappable Top for Phones & Tablets - Aluminum Black,4.44%,5.40%
Amazon.com,tv stand,99,B07263KQ54,"Walker Edison Furniture Company Farmhouse Barn Wood Universal Stand for TV's up to 64 Flat Screen Living Room Storage Cabinet Doors and Shelves Entertainment Center, 58 Inch, Grey Wash",9.78%,6.10%,B077MJZ6ZG,"PERLESMITH Universal TV Stand - Table Top TV Stand for 37-55 inch LCD LED TVs - Height Adjustable TV Base Stand with Tempered Glass Base & Wire Management, VESA 400x400mm",9.23%,20.96%,B007CGQC1Q,"Walker Edison Furniture Minimal Farmhouse Wood Universal Stand for TV's up to 64 Flat Screen Living Room Storage Shelves Entertainment Center, 58 Inch, Black",5.77%,4.00%
Amazon.com,coffee maker,100,B00EI7DPPI,"Hamilton Beach 2-Way Brewer Coffee Maker, Single-Serve and 12-Cup Pot, Stainless Steel (49980A), Carafe",10.15%,8.53%,B002YI2IG0,"Mr. Coffee 12-Cup Coffee Maker, Black",8.49%,17.74%,B07GV2S1GS,"Keurig K-Mini Coffee Maker, Single Serve K-Cup Pod Coffee Brewer, 6 to 12 oz. Brew Sizes, Black",5.92%,4.74%
Amazon.com,squishmallow,101,B08LG7Y2X7,SQUISHMALLOWS Kellytoy 2020 Christmas Squad Plush Toy (8 Carol the Xmas Tree),8.14%,6.90%,B08KRXFF9Q,SQUISHMALLOWS Plush Stuffed Toy Baby Yoda The Child 5 Inches,5.26%,6.20%,B08K2J75KQ,Squishmallow Kellytoy 2020 Scented Mystery Squad Bag 8” Plush Series 1,3.90%,3.49%
Amazon.com,iphone 12 pro max screen protector,102,B08GLFV8RJ,TOZO Compatible for iPhone 12 Pro Max Screen Protector 3 Pack Premium Tempered Glass 0.26mm 9H Hardness 2.5D Film Super Easy 6.7 inch,11.36%,15.03%,B08DG7JN5C,Ailun Glass Screen Protector Compatible for iPhone 12 pro Max 2020 6.7 Inch 3 Pack Tempered Glass 2.5D Edge Anti Scratch Work Most Case,9.89%,12.10%,B08DQGH9T1,Spigen Tempered Glass Screen Protector [Glas.tR EZ Fit] designed for iPhone 12 Pro Max (2020) [6.7 inch] [Case Friendly] - 2 Pack,9.22%,8.52%
